	gene.name
#1	SLC8A2
#2	AC073548.2
#3	VPS9D1
#4	VPS9D1-AS1
#5	CRYM
#6	XKR5
#7	STAR
#8	AC084024.3
#9	CHI3L2
#10	AC008063.1
#11	STX16-NPEPL1
#12	NPEPL1
#13	AC007666.2
#14	SLC25A18
#15	PLIN5
#16	AC011498.4
#17	ANGPTL4
#18	C19orf12
#19	GIPR
#20	PNMA8C
#21	SLC22A31
#22	TRAF3IP2
#23	AQP7
#24	AL356218.2
#25	CNTFR
#26	EGFLAM
#27	LPAR3
#28	CCK
#29	AC018358.1
#30	ABHD5
#31	FHL1
#32	ACAD11
#33	NPHP3-ACAD11
#34	ACKR4
#35	MED8
#36	AL139289.1
#37	ECHDC2
#38	NFIA
#39	NAV1
#40	IPO9-AS1
#41	SIX3
#42	LRBA
#43	C2orf49
#44	XPNPEP1
#45	C17orf58
#46	GPD1
#47	AL031123.1
#48	AC002451.1
#49	PDK4
#50	NRCAM
#51	LINC02384
#52	CHPT1
#53	AC007637.1
#54	ACACB
#55	FOXN4
#56	ARHGEF7
#57	TUBGCP2
#58	PHYHD1
#59	APOL6
#60	GSDMD
#61	AC084125.2
#62	GPT
#63	UTRN
#64	TENM4
#65	FAM181B
#66	DIXDC1
#67	POR
#68	SSC4D
#69	CD36
#70	AC005082.1
#71	SNX10
#72	IKZF1
#73	AC008073.3
#74	FAM228A
#75	STON1
#76	STON1-GTF2A1L
#77	AL158077.2
#78	PDZD2
#79	UGT3A2
#80	C6
#81	EMB
#82	NPFFR1
#83	PCBD1
#84	EXOC6
#85	LBX1
#86	LBX1-AS1
#87	ADRB1
#88	CAPN10-DT
#89	MLST8
#90	GPRC5B
#91	ZFYVE28
#92	NWD2
#93	DIO3OS
#94	MIR1247
#95	TMEM179
#96	PSMA1
#97	PDE3B
#98	WT1-AS
#99	AL049692.3
#100	TNKS1BP1
#101	MROH6
#102	NAPRT
#103	AC067930.5
#104	AC067930.1
#105	MBP
#106	AC018616.1
#107	FABP4
#108	AP005717.1
#109	TMEM104
#110	SEPTIN9-DT
#111	ITIH5
#112	ESR1
#113	DACT2
#114	CXCR4
#115	PLIN4
#116	ILVBL
#117	AC003956.1
#118	FBXO27
#119	AC010605.1
#120	BCL3
#121	ZNF808
#122	LAIR1
#123	ZNF584
#124	AC012313.1
#125	AL160171.1
#126	SORT1
#127	AL139005.1
#128	LINC00461
#129	EPB41L4A
#130	TNK2
#131	TNK2-AS1
#132	VILL
#133	ITIH1
#134	MNX1
#135	MNX1-AS1
#136	TNFSF13B
#137	AL390755.3
#138	ARHGEF7-AS2
#139	FP236383.3
#140	FP236383.9
#141	PDXK
#142	ZSCAN16-AS1
#143	ILRUN
#144	GLP1R
#145	ENPP4
#146	FAM47E
#147	AC034139.1
#148	FAM47E-STBD1
#149	SHROOM3
#150	MAPK10
#151	ADAMTS19-AS1
#152	ADAMTS19
#153	TH2LCRR
#154	IL13
#155	HAVCR2
#156	AC011377.1
#157	SDHB
#158	PLA2G2A
#159	NFIA-AS1
#160	ITFG2
#161	EMG1
#162	PKP2
#163	HOTAIR
#164	PPP1R1A
#165	AL035252.2
#166	NEURL2
#167	CTSA
#168	PCK1
#169	ZBTB46
#170	AL121845.1
#171	CECR2
#172	LINC01659
#173	CACNG2
#174	AL049749.1
#175	NOTO
#176	ELMOD3
#177	ATR
#178	ADIPOQ
#179	TXNL4B
#180	HP
#181	ADAMTS18
#182	AC025284.1
#183	CBFA2T3
#184	AC092384.1
#185	AL133299.1
#186	LRRC9
#187	CD96
#188	PARP15
#189	AC119673.2
#190	PM20D1
#191	CD34
#192	HSD11B1-AS1
#193	G0S2
#194	AL391807.1
#195	ARHGEF6
#196	FGF13
#197	FGF13-AS1
#198	MTUS1
#199	LPL
#200	PTK2B
#201	ANK1
#202	OPRK1
#203	PSMA4
#204	CPEB1-AS1
#205	AP3B2
#206	LINC01586
#207	MIR9-3HG
#208	DLGAP1
#209	ASS1
#210	ADAMTSL2
#211	AC016044.1
#212	ACADVL
#213	DVL2
#214	SRCIN1
#215	AOC2
#216	AOC3
#217	EFCAB13
#218	PDK2
#219	AC002401.2
#220	NPY1R
#221	LINC02363
#222	SV2A
