	gene.name
#1	FAP
#2	SSR3
#3	AP4E1
#4	MYEOV
#5	CCT6A
#6	AOPEP
#7	ZSWIM4
#8	AC020916.2
#9	AXL
#10	ZNF175
#11	AC010326.2
#12	TENM2
#13	AC008464.1
#14	ADA2
#15	AL133383.1
#16	MESTIT1
#17	MEST
#18	AC016831.7
#19	LINC00513
#20	AC016831.1
#21	NFASC
#22	PSEN2
#23	CFLAR
#24	LACTB2-AS1
#25	BAALC
#26	AC112206.2
#27	WNK1
#28	EPS8
#29	VDR
#30	KRT8
#31	KRT18
#32	LY6E-DT
#33	ARID5B
#34	AL137782.1
#35	LMO7-AS1
#36	LMO7
#37	AC006059.1
#38	EAPP
#39	AL049870.2
#40	LINC01943
#41	MIR4435-2HG
#42	AC017002.6
#43	AC017002.5
#44	AC017002.3
#45	LIPA
#46	IFIT2
#47	AL353751.1
#48	AC005871.2
#49	EMX2OS
#50	AC078927.1
#51	LLPH-DT
#52	CORO7-PAM16
#53	CORO7
#54	LINC02085
#55	WNK4
#56	EIF3H
#57	AC002074.1
#58	COL1A2
#59	DUS4L
#60	MIR155HG
#61	MIR155
#62	AP000695.1
#63	FAM87A
#64	GDF15
#65	AC010519.1
#66	EHD2
#67	CLEC11A
#68	AC010327.4
#69	SYT5
#70	MXRA8
#71	AC104170.1
#72	SLC12A6
#73	AC090527.2
#74	SQOR
#75	AL109615.3
#76	AL109615.2
#77	THBS3
#78	METRNL
#79	SMG6
#80	AC090617.1
#81	AC069209.2
#82	AC069209.1
#83	AC104389.5
#84	TRIM6
#85	AMPD3
#86	PAMR1
#87	SLC43A3
#88	ITGB1
#89	ITGB1-DT
#90	AC244230.2
#91	STC2
#92	HEPH
#93	AFP
#94	RAI14
#95	AC091212.1
#96	FSTL1
#97	AC126182.3
#98	LBH
#99	PTK2
#100	GPR1
#101	GPR1-AS
#102	SH3BP4
#103	AL592146.1
#104	ETNK2
#105	ARF1
#106	CNST
#107	LINC01579
#108	LINC02207
#109	PXYLP1
#110	AC117383.1
#111	ZBTB38
#112	AC061708.1
#113	AC007920.2
#114	FHL2
#115	MIA3
#116	IL1RAPL1
#117	TRO
#118	BBC3
#119	NAPA-AS1
#120	NAPA
#121	DEFB124
#122	RAD9A
#123	POLD4
#124	AP003419.1
#125	MTMR2
#126	CARD16
#127	PIP4K2A
#128	KIAA1217
#129	ARHGAP22
#130	C1RL
#131	SLC2A3
#132	EMP1
#133	LRRK2
#134	AC008014.1
#135	AC025031.4
#136	TAFA2
#137	AL139220.2
#138	SSBP3
#139	ZFAND6
#140	AKAP13
#141	IGF1R
#142	TPRG1
#143	LRCH2
#144	SLC7A7
#145	STXBP6
#146	AL365295.1
#147	AL365295.2
#148	PDGFRB
#149	PLCL1
#150	MYOSLID
#151	AC009226.1
#152	LINC00887
#153	GLDC
#154	ELAVL2
#155	AL161628.1
#156	PLEC
#157	AC087645.2
#158	MMP2
#159	AC021755.2
#160	FAM227B
#161	FGF7
#162	MYZAP
#163	GCOM1
#164	VIT
#165	FOXN2
#166	AK5
#167	IFI44L
#168	AC116003.1
#169	TANC2
#170	AC005828.1
#171	AC005828.3
#172	LINC02201
#173	AL513164.1
#174	SASH1
#175	AC108448.3
#176	AP000662.1
#177	YPEL4
#178	CLP1
#179	AL359736.1
#180	SPATA13
#181	U1
#182	AL450992.1
#183	ABL2
#184	RUFY3
#185	SEPTIN11
#186	SCARB1
#187	AC073593.2
#188	AC105402.3
#189	KIF5C
#190	SMILR
#191	ZBTB20
#192	AC092100.1
#193	HRH1
#194	AC051635.1
#195	AC136698.1
#196	UBE2Q2L
#197	FHOD1
#198	SLC9A5
#199	MRPL33
#200	RBKS
#201	STMN2
#202	TRABD2A
#203	COL11A1
#204	CRYAB
#205	HSPB2
#206	HSPB2-C11orf52
#207	MIR100HG
#208	RBMS1
#209	SULT1A1
#210	AC007906.2
#211	AL353138.1
