State (Emission order)	H3K27me3	H3K9me3	H3K36me3	H3K4me1	H3K27ac	H3K4me3
1	0.006177375995105185	0.01249857247192333	0.057084791252209374	2.407364306758498E-15	0.9654106121809898	0.9952879490704161
2	0.004605578399756331	0.003408302353779508	0.13430462587842507	0.9999999361831928	0.8759763794414164	0.9945451432825557
3	0.0025251394981855905	0.002562454760011357	0.018962385773613404	0.967698335153815	0.5361331694595162	0.007773701449147647
4	7.480310396861019E-4	0.005793099454689191	0.5594074867906128	0.9589491372854118	0.9946129049924742	0.005793705510756252
5	0.0032593970040486714	0.0029102592911779803	0.7459801409069295	0.8233419712678856	0.041157832809900416	9.119461253560555E-4
6	0.00663441515020213	0.003142297458507232	0.11916057407677243	0.11946284776036559	4.095979786833859E-8	2.431116768022517E-4
7	0.0024375598438263267	0.009430702456239665	0.9218240357269135	0.020936785783300833	0.003603013518216488	6.404041612343446E-5
8	0.13929675360186725	0.8733799356960806	0.9324922961299861	0.020002636792488038	0.009766082035673817	0.0028215044033688104
9	0.6641291698150029	0.3395700927070553	0.6287220572588462	0.05291567477771086	0.003494473179871172	8.625319788307076E-4
10	0.7927278081165862	0.05542368251623467	0.007290608082249676	0.02005941909653886	1.0208237678373962E-53	2.155165604829052E-7
11	0.09740265631095425	0.011315086306732168	0.0021108736561436816	0.04909563016876519	2.7769649280516817E-4	8.486859331255582E-4
12	0.6086079440927069	0.05900684050587534	0.021040666760871643	0.9052683782653372	0.11591198851961469	0.2437097800043031
13	0.6715439507313121	0.8127879679580653	0.01627062945805023	0.005368274886756213	0.0011884066613451994	0.010144768021002918
14	0.0021856206685648715	0.01408563852374111	3.762330875836747E-4	0.002583122207956362	4.7171056798799894E-4	6.375766798421992E-4
15	0.02626624113322111	0.5552104695358625	4.2955570090745815E-5	6.232025888135325E-4	4.956890741467141E-4	9.89823511147552E-4
