Cluster	cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
1	1	GOCC_MITOCHONDRION	GOCC_MITOCHONDRION	125/399	295/1958	2.73162828861101e-21	6.58868743212975e-18	6.21373550704041e-18	AURKAIP1/SLC27A3/SDHB/DARS2/ALDH4A1/FLVCR1/MRPL55/ATP5IF1/ACADM/CHCHD1/ACAD8/BBOX1/PDHX/AMBRA1/MRPL16/PLAAT3/BAD/KLC2/GSTP1/NDUFV1/SLC25A22/MTERF2/MMAB/HIP1R/YARS2/SUCLA2/CKB/L2HGDH/RMDN3/ETFA/MTHFS/IDH2/FAHD1/HAGH/NTHL1/TUFM/MRPL28/TRAP1/DNAJA3/RHOT2/MPG/ACSF3/PEMT/ATPAF2/COA3/SLC25A39/PDK2/ACSF2/ACADVL/FDXR/MRM3/SLC25A10/ACAA2/MRPL4/QTRT1/GPX4/ECSIT/STK11/ATP5F1D/NDUFS7/NDUFB7/SLC27A1/FKBP8/TIMM13/THOP1/C19orf12/ECH1/MRPS12/BCKDHA/TMEM143/ETFB/MICOS13/BSG/CLPP/ALKBH7/TIMM44/CHCHD5/PDK1/ABCB6/HADHB/NFU1/MTFP1/TST/GCAT/MIEF1/ACO2/SMDT1/TSPO/SCO2/TIMMDC1/ACAD11/PCCB/MRPS22/CMC1/CCDC51/SLC25A20/GPX1/PDHB/HADH/GATB/ETFDH/MAPK10/GFM2/ACAT2/MRPS18A/FASTK/TBRG4/MDH2/GPAA1/CYC1/LACTB2/MRPS28/DECR1/STOM/MIGA2/CRAT/ALDH1B1/ACSL4/SLC25A5/SLC25A6/IDH3G/CMC4/CA5BP1/PDHA1/GK	125
1	1	GOCC_MITOCHONDRIAL_MATRIX	GOCC_MITOCHONDRIAL_MATRIX	63/399	118/1958	1.96370802743424e-16	2.36823188108569e-13	2.23345949857125e-13	AURKAIP1/DARS2/ALDH4A1/MRPL55/ACADM/CHCHD1/ACAD8/PDHX/MRPL16/MTERF2/MMAB/YARS2/SUCLA2/ETFA/MTHFS/IDH2/FAHD1/HAGH/TUFM/MRPL28/TRAP1/DNAJA3/MPG/ACSF3/PDK2/ACSF2/ACADVL/FDXR/MRM3/ACAA2/MRPL4/ATP5F1D/NDUFS7/MRPS12/BCKDHA/ETFB/CLPP/ALKBH7/TIMM44/PDK1/HADHB/TST/ACO2/SMDT1/SCO2/PCCB/MRPS22/GPX1/PDHB/HADH/ETFDH/GFM2/MRPS18A/FASTK/TBRG4/MDH2/LACTB2/MRPS28/DECR1/ALDH1B1/SLC25A5/IDH3G/PDHA1	63
1	1	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	36/399	58/1958	2.32187281799231e-12	1.86678574566582e-09	1.76054988058996e-09	SDHB/ATP6V0B/ACADM/CASP7/PDHX/NDUFV1/SUCLA2/ETFA/IDH2/ATP6V0C/RHOT2/ACADVL/ACAA2/GPX4/ATP5F1D/NDUFS7/NDUFB7/TIMM13/ECH1/MRPS12/BCKDHA/ETFB/HADHB/ACO2/MRPS22/ACAA1/SLC25A20/PDHB/ETFDH/MDH2/CYC1/DECR1/SLC25A5/SLC25A6/IDH3G/PDHA1	36
1	1	GOCC_MITOCHONDRIAL_ENVELOPE	GOCC_MITOCHONDRIAL_ENVELOPE	64/399	148/1958	3.72683031435903e-11	2.24727867955849e-08	2.11938955508681e-08	AURKAIP1/SLC27A3/SDHB/FLVCR1/MRPL55/ACADM/CHCHD1/AMBRA1/MRPL16/PLAAT3/BAD/NDUFV1/SLC25A22/L2HGDH/RMDN3/TUFM/MRPL28/TRAP1/RHOT2/PEMT/COA3/SLC25A39/ACADVL/FDXR/SLC25A10/MRPL4/QTRT1/ECSIT/ATP5F1D/NDUFS7/NDUFB7/SLC27A1/FKBP8/TIMM13/THOP1/C19orf12/MRPS12/MICOS13/TIMM44/CHCHD5/ABCB6/HADHB/MTFP1/GCAT/MIEF1/SMDT1/TSPO/SCO2/TIMMDC1/ACAD11/MRPS22/CCDC51/SLC25A20/ETFDH/MRPS18A/CYC1/MRPS28/MIGA2/CRAT/ACSL4/SLC25A5/SLC25A6/CMC4/GK	64
1	1	GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	111/399	332/1958	4.8625124520154e-10	2.34567600685223e-07	2.21218724395901e-07	SLC27A3/HSD17B7/SDHB/DARS2/ALDH4A1/GUK1/GALE/ATP5IF1/ACADM/IDI1/PFKFB3/SC5D/ACAD8/PDHX/NR1H3/TKFC/PLAAT3/BAD/TM7SF2/GSTP1/NDUFV1/TALDO1/MMAB/SCARB1/YARS2/RDH5/SUCLA2/L2HGDH/ITPK1/ETFA/MTHFS/IDH2/ABCC6/NME3/FAHD1/HAGH/NTHL1/MLST8/ATP6V0C/CLN3/MVD/APRT/ACSF3/CTNS/ACLY/ACBD4/PDK2/ACSF2/ACADVL/FDXR/GAA/RPTOR/SLC25A10/FASN/ACAA2/GPX4/STK11/ATP5F1D/FARSA/NDUFS7/GAMT/TECR/NDUFB7/ILVBL/SLC27A1/ECH1/BCKDHA/SIRT6/LIPE/NR1H2/ETFB/ALKBH7/PDK1/HADHB/AHCY/ACOT8/PDXK/PFKL/TST/GCAT/ACO2/TSPO/TYMP/ACAD11/PCCB/ACAA1/ABHD5/GPX1/PDHB/HADH/GATB/ETFDH/HMGCS1/HMGCR/ACAT2/IMPDH1/AKR1B1/MDH2/ASAH1/DECR1/CRAT/SLC2A6/ABCA2/GRHPR/ALDH1B1/ACSL4/IDH3G/G6PD/PDHA1/GK/EBP	111
4	4	GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	94/317	332/1958	4.35876563658728e-10	1.07007696378218e-06	1.02040997639685e-06	SLC27A3/DARS2/ALDH4A1/GUK1/GALE/MECR/ACADM/PFKFB3/PANK1/ACAD8/NR1H3/BAD/TM7SF2/NDUFV1/DHCR7/TALDO1/PNPLA2/ACACB/MMAB/OAS1/ACADS/FAR2/GPD1/CSAD/RDH5/SUCLA2/DHRS4/L2HGDH/NME3/FAHD1/HAGH/NTHL1/MLST8/CLN3/VKORC1/DECR2/GPT2/CES2/LDHD/MVD/SHMT1/CTNS/ACLY/G6PC3/PDK2/ACADVL/GAA/RPTOR/SLC25A10/FASN/GPX4/ATP5F1D/NDUFB7/CYP4F12/PEPD/SARS2/BCKDHA/SIRT6/APOE/ETFB/IL1B/PDK1/PECR/MOGAT1/DTYMK/HADHA/ENTPD6/ACOT8/PCK1/UCKL1/PDXK/SLC19A1/SLC25A1/MPST/ALDH1L1/ACAD11/ACAA1/GLYCTK/HADH/NDUFS6/NQO2/BPHL/ME1/GPER1/INSIG1/NAPRT/SLC52A2/ASAH1/LPL/DECR1/ASS1/ABCD1/G6PD/PFKFB1	94
1	1	GOCC_ENVELOPE	GOCC_ENVELOPE	73/399	194/1958	3.34619872361318e-09	1.20839195759163e-06	1.13962425606856e-06	AURKAIP1/SLC27A3/SDHB/CACYBP/FLVCR1/MRPL55/ACADM/CHCHD1/AMBRA1/MRPL16/PLAAT3/BAD/TM7SF2/NDUFV1/SLC25A22/DHX37/L2HGDH/RMDN3/TUFM/MRPL28/TRAP1/RHOT2/PEMT/TMEM97/COA3/SLC25A39/ACADVL/FDXR/TMC6/SLC25A10/MRPL4/QTRT1/GPX4/ECSIT/ATP5F1D/NDUFS7/NDUFB7/SLC27A1/FKBP8/TIMM13/THOP1/C19orf12/MRPS12/MICOS13/TIMM44/CHCHD5/ABCB6/HADHB/THAP7/MTFP1/GCAT/MIEF1/SMDT1/TSPO/SCO2/TIMMDC1/ACAD11/MRPS22/CCDC51/SLC25A20/ETFDH/MRPS18A/INTS1/CYC1/MRPS28/MIGA2/CRAT/ACSL4/SLC25A5/SLC25A6/CMC4/GK/EBP	73
1	1	GOBP_ORGANIC_ACID_METABOLIC_PROCESS	GOBP_ORGANIC_ACID_METABOLIC_PROCESS	68/399	176/1958	3.50694183380655e-09	1.20839195759163e-06	1.13962425606856e-06	SLC27A3/SDHB/DARS2/ALDH4A1/ACADM/ACAD8/PDHX/NR1H3/GSTP1/YARS2/SUCLA2/L2HGDH/ETFA/MTHFS/IDH2/FAHD1/HAGH/MLST8/CLN3/ACSF3/CTNS/ACLY/ACBD4/PDK2/ACSF2/ACADVL/RPTOR/FASN/ACAA2/GPX4/FARSA/GAMT/TECR/ILVBL/SLC27A1/ECH1/BCKDHA/SIRT6/NR1H2/ETFB/ALKBH7/PDK1/HADHB/ACOT8/PFKL/TST/GCAT/ACO2/ACAD11/PCCB/ACAA1/ABHD5/GPX1/PDHB/HADH/GATB/ETFDH/ACAT2/AKR1B1/MDH2/ASAH1/DECR1/CRAT/SLC2A6/GRHPR/ACSL4/IDH3G/PDHA1	68
1	1	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	27/399	45/1958	4.57111919230806e-09	1.37819243648088e-06	1.2997616545497e-06	SDHB/PDHX/NDUFV1/SUCLA2/L2HGDH/ETFA/IDH2/FAHD1/HAGH/TRAP1/PDK2/ECSIT/ATP5F1D/NDUFS7/NDUFB7/ETFB/BSG/PDK1/ACO2/SCO2/TIMMDC1/PDHB/ETFDH/MDH2/CYC1/IDH3G/PDHA1	27
1	1	GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	51/399	129/1958	1.80234534230383e-07	4.28502758740259e-05	4.04117335095444e-05	SLC27A3/ACADM/PDHX/NR1H3/GSTP1/ETFA/MTHFS/IDH2/FAHD1/HAGH/MLST8/ACSF3/ACLY/ACBD4/PDK2/ACSF2/ACADVL/RPTOR/FASN/ACAA2/GPX4/GAMT/TECR/ILVBL/SLC27A1/ECH1/SIRT6/NR1H2/ETFB/ALKBH7/PDK1/HADHB/ACOT8/PFKL/ACAD11/PCCB/ACAA1/ABHD5/GPX1/PDHB/HADH/ETFDH/ACAT2/AKR1B1/ASAH1/DECR1/CRAT/SLC2A6/GRHPR/ACSL4/PDHA1	51
