Cluster	cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
3	3	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	12/61	52/1958	2.17662427954323e-08	3.6001365583645e-05	3.15725079706376e-05	ECM1/CXCL12/NNMT/CD44/LUM/DCN/IL32/SERPINE2/ABI3BP/DAB2/IL6/TNFRSF11B	12
5	5	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	6/22	23/1958	8.60032515852054e-08	3.76863203269332e-05	3.47539553447223e-05	RPL41/PSMA6/RPS15A/RPL26/RPL37A/RPS10	6
5	5	REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	10/22	114/1958	1.08606110452257e-07	3.76863203269332e-05	3.47539553447223e-05	SNRPE/STT3A/PCBP2/RPL41/PSMA6/RPS15A/RPL26/RPL37A/RUNX1/RPS10	10
5	5	REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	8/22	65/1958	2.11323463879275e-07	4.88861613107389e-05	4.5082338960912e-05	SNRPE/PCBP2/RPL41/PSMA6/RPS15A/RPL26/RPL37A/RPS10	8
5	5	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	6/22	28/1958	3.09788824102082e-07	5.37483609817112e-05	4.95662118563331e-05	RPL41/PSMA6/RPS15A/RPL26/RPL37A/RPS10	6
1	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	12/66	52/1958	5.57926977678859e-08	8.54186202826334e-05	7.95780057636689e-05	COL11A1/NNMT/DCN/MMP2/EMP3/ABI3BP/LOX/DAB2/NT5E/IL6/CTHRC1/TNC	12
5	5	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	5/22	18/1958	8.60150420748242e-07	8.87102773467881e-05	8.18077485618795e-05	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	5/22	19/1958	1.15885428173523e-06	8.87102773467881e-05	8.18077485618795e-05	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	KEGG_RIBOSOME	KEGG_RIBOSOME	5/22	19/1958	1.15885428173523e-06	8.87102773467881e-05	8.18077485618795e-05	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	5/22	19/1958	1.15885428173523e-06	8.87102773467881e-05	8.18077485618795e-05	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	5/22	19/1958	1.15885428173523e-06	8.87102773467881e-05	8.18077485618795e-05	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	GOCC_CYTOSOLIC_RIBOSOME	GOCC_CYTOSOLIC_RIBOSOME	5/22	20/1958	1.53389528553524e-06	8.87102773467881e-05	8.18077485618795e-05	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	5/22	20/1958	1.53389528553524e-06	8.87102773467881e-05	8.18077485618795e-05	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	5/22	20/1958	1.53389528553524e-06	8.87102773467881e-05	8.18077485618795e-05	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	GOCC_RIBONUCLEOPROTEIN_COMPLEX	GOCC_RIBONUCLEOPROTEIN_COMPLEX	8/22	86/1958	1.93530216588443e-06	9.90726763223127e-05	9.1363851363516e-05	SNRPE/PCBP2/RPL41/PSMA6/RPS15A/RPL26/RPL37A/RPS10	8
5	5	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	5/22	21/1958	1.99858424857691e-06	9.90726763223127e-05	9.1363851363516e-05	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	5/22	22/1958	2.5675738622864e-06	0.000118793084028451	0.00010954981812422	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
4	4	REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	6/12	65/1958	8.39563215101397e-07	0.000127956050081908	0.0001054858256509	RPS27/PCBP2/RPL26/SNRPG/RPL34/RPS10	6
4	4	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	4/12	18/1958	2.36937640058733e-06	0.000127956050081908	0.0001054858256509	RPS27/RPL26/RPL34/RPS10	4
4	4	GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	4/12	19/1958	2.99134033886045e-06	0.000127956050081908	0.0001054858256509	RPS27/RPL26/RPL34/RPS10	4
4	4	KEGG_RIBOSOME	KEGG_RIBOSOME	4/12	19/1958	2.99134033886045e-06	0.000127956050081908	0.0001054858256509	RPS27/RPL26/RPL34/RPS10	4
4	4	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	4/12	19/1958	2.99134033886045e-06	0.000127956050081908	0.0001054858256509	RPS27/RPL26/RPL34/RPS10	4
4	4	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	4/12	19/1958	2.99134033886045e-06	0.000127956050081908	0.0001054858256509	RPS27/RPL26/RPL34/RPS10	4
4	4	GOCC_CYTOSOLIC_RIBOSOME	GOCC_CYTOSOLIC_RIBOSOME	4/12	20/1958	3.72687524510411e-06	0.000127956050081908	0.0001054858256509	RPS27/RPL26/RPL34/RPS10	4
4	4	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	4/12	20/1958	3.72687524510411e-06	0.000127956050081908	0.0001054858256509	RPS27/RPL26/RPL34/RPS10	4
4	4	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	4/12	20/1958	3.72687524510411e-06	0.000127956050081908	0.0001054858256509	RPS27/RPL26/RPL34/RPS10	4
4	4	GOCC_RIBONUCLEOPROTEIN_COMPLEX	GOCC_RIBONUCLEOPROTEIN_COMPLEX	6/12	86/1958	4.51431606634261e-06	0.000128899022849283	0.00010626320398408	RPS27/PCBP2/RPL26/SNRPG/RPL34/RPS10	6
4	4	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	4/12	21/1958	4.58863835385799e-06	0.000128899022849283	0.00010626320398408	RPS27/RPL26/RPL34/RPS10	4
4	4	REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	4/12	22/1958	5.58987628687324e-06	0.000143939314386986	0.000118662286089765	RPS27/RPL26/RPL34/RPS10	4
4	4	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	4/12	23/1958	6.74441380771859e-06	0.00016030952819885	0.000132157744248413	RPS27/RPL26/RPL34/RPS10	4
4	4	REACTOME_INFLUENZA_INFECTION	REACTOME_INFLUENZA_INFECTION	4/12	25/1958	9.57151064734909e-06	0.000211256913573634	0.000174158314034472	RPS27/RPL26/RPL34/RPS10	4
5	5	REACTOME_INFLUENZA_INFECTION	REACTOME_INFLUENZA_INFECTION	5/22	25/1958	5.0678280011833e-06	0.000219817039551326	0.000202713120047332	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
4	4	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	4/12	27/1958	1.31916691675901e-05	0.000271748384852356	0.000224026943056618	RPS27/RPL26/RPL34/RPS10	4
4	4	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	4/12	28/1958	1.53395372048987e-05	0.000296244812269606	0.000244221579183255	RPS27/RPL26/RPL34/RPS10	4
5	5	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	5/22	27/1958	7.58864271117766e-06	0.000309011531758151	0.00028496740680867	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	REACTOME_SARS_COV_1_HOST_INTERACTIONS	REACTOME_SARS_COV_1_HOST_INTERACTIONS	4/22	13/1958	8.01470831649384e-06	0.000309011531758151	0.00028496740680867	PCBP2/RPS15A/RUNX1/RPS10	4
4	4	GOMF_RNA_BINDING	GOMF_RNA_BINDING	7/12	170/1958	1.79859737453268e-05	0.000326921522782705	0.00026951118553369	RPS27/PCBP2/RPL26/SNRPG/RPL34/RPS10/PIN4	7
4	4	REACTOME_INFECTIOUS_DISEASE	REACTOME_INFECTIOUS_DISEASE	6/12	114/1958	2.37172769909145e-05	0.000407146588344033	0.000335648013555632	RPS27/PCBP2/RPL26/SNRPG/RPL34/RPS10	6
4	4	REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	3/12	11/1958	2.82658093253045e-05	0.000459691320079952	0.000378965421425135	RPS27/SNRPG/RPS10	3
4	4	REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	4/12	37/1958	4.80287409108955e-05	0.000715935705044463	0.000590211005350912	RPS27/RPL26/RPL34/RPS10	4
4	4	REACTOME_SARS_COV_1_HOST_INTERACTIONS	REACTOME_SARS_COV_1_HOST_INTERACTIONS	3/12	13/1958	4.86558246146723e-05	0.000715935705044463	0.000590211005350912	RPS27/PCBP2/RPS10	3
4	4	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	4/12	38/1958	5.35016873741713e-05	0.000751455518119042	0.000619493222227247	RPS27/RPL26/RPL34/RPS10	4
5	5	REACTOME_SARS_COV_INFECTIONS	REACTOME_SARS_COV_INFECTIONS	6/22	56/1958	2.18695343229862e-05	0.000798813516850126	0.000736657998247955	SNRPE/STT3A/PCBP2/RPS15A/RUNX1/RPS10	6
5	5	REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	8/22	120/1958	2.44560634527072e-05	0.00084862540180894	0.00078259403048663	RPL41/PSMA6/RPS15A/RPL26/ACVR2A/RPL37A/RUNX1/RPS10	8
4	4	GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	4/12	41/1958	7.26751590450635e-05	0.00097637496282281	0.000804914804984227	RPS27/RPL26/RPL34/RPS10	4
5	5	REACTOME_SARS_COV_1_INFECTION	REACTOME_SARS_COV_1_INFECTION	4/22	18/1958	3.30537887715687e-05	0.00109234901940327	0.00100735356256209	PCBP2/RPS15A/RUNX1/RPS10	4
5	5	REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	5/22	37/1958	3.80808565788665e-05	0.00120127793026061	0.00110780673683975	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
5	5	GOMF_RNA_BINDING	GOMF_RNA_BINDING	9/22	170/1958	4.2053838841461e-05	0.00125875196329504	0.00116080872695796	SNRPE/PCBP2/RPL41/PSMA6/RPS15A/HOXB6/RPL26/RPL37A/RPS10	9
5	5	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	5/22	38/1958	4.35303272609235e-05	0.00125875196329504	0.00116080872695796	RPL41/RPS15A/RPL26/RPL37A/RPS10	5
4	4	GOCC_RIBOSOME	GOCC_RIBOSOME	4/12	45/1958	0.000105515003641325	0.00135850567188206	0.00111993995092985	RPS27/RPL26/RPL34/RPS10	4
4	4	REACTOME_SARS_COV_1_INFECTION	REACTOME_SARS_COV_1_INFECTION	3/12	18/1958	0.000136437158650573	0.00168636328092109	0.00139022283761847	RPS27/PCBP2/RPS10	3
4	4	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	4/12	49/1958	0.000148065901501477	0.0017597062909214	0.00145068616045981	RPS27/RPL26/SNRPG/PIN4	4
