promoter_id	logfc	pred_logfc	prediction_error	max_shap	Chr	Start	End	Strand	beige	white	logratio	transcript_id	transcript_biotype	ensembl_gene_id	gene_name	gene_biotype	promoter_start	promoter_end	promoter_id.1	cluster
chr1:1011496:1013796	0.523741055874351	0.322318244086012	-0.201422811788339	0.142831496218071	chr1	1013497	1013796	+	2.73612435731708	1.29428621866734	0.523741055874351	ENST00000649529.1	protein_coding	ENSG00000187608	ISG15	protein_coding	1011496	1013796	chr1:1011496:1013796	1
chr1:107055436:107057736	0.754386460865643	0.322747824355057	-0.431638636510586	0.284862739768018	chr1	107057437	107057736	+	2.19681677962034	0.487866410520802	0.754386460865643	ENST00000649727.1	retained_intron	ENSG00000198890	PRMT6	protein_coding	107055436	107057736	chr1:107055436:107057736	2
chr1:11662199:11664499	0.798355383702571	0.419545281656837	-0.378810102045734	0.147732660402889	chr1	11664200	11664499	+	2.01615677504901	0.309307361213274	0.798355383702571	ENST00000376753.9	protein_coding	ENSG00000116663	FBXO6	protein_coding	11662199	11664499	chr1:11662199:11664499	3
chr1:11666695:11668995	0.795197943945477	0.609832330192613	-0.185365613752864	0.224190233657673	chr1	11668696	11668995	+	2.98898323282722	0.874971942904634	0.795197943945477	ENST00000449067.1	protein_coding	ENSG00000116663	FBXO6	protein_coding	11666695	11668995	chr1:11666695:11668995	3
chr1:12017465:12019765	0.661222276081834	0.302849068097433	-0.358373207984401	0.326342363818874	chr1	12019466	12019765	+	2.10737519267449	0.597267235099692	0.661222276081834	ENST00000478749.5	lncRNA	ENSG00000116691	MIIP	protein_coding	12017465	12019765	chr1:12017465:12019765	1
chr1:12017497:12019797	0.659763022221283	0.575394021516599	-0.0843690007046844	0.264063371115127	chr1	12019498	12019797	+	2.10322277465814	0.597267235099692	0.659763022221283	ENST00000235332.6	protein_coding	ENSG00000116691	MIIP	protein_coding	12017497	12019797	chr1:12017497:12019797	4
chr1:12027095:12029395	0.540623689628843	0.732724770165204	0.192101080536361	0.33303094383979	chr1	12029096	12029395	+	2.42265247484878	1.04045701292686	0.540623689628843	ENST00000460823.1	lncRNA	ENSG00000116691	MIIP	protein_coding	12027095	12029395	chr1:12027095:12029395	3
chr1:1231668:1233968	1.68439462408727	1.6843587778059	-3.58462813692118e-05	0.343889758047704	chr1	1231669	1231968	-	21.0899594605755	5.18405856431486	1.68439462408727	ENST00000459994.2	lncRNA	ENSG00000078808	SDF4	protein_coding	1231668	1233968	chr1:1231668:1233968	1
chr1:1231701:1234001	1.68813812357583	1.48818457603617	-0.199953547539655	0.305461040912604	chr1	1231702	1232001	-	20.9249586881079	5.11423733992403	1.68813812357583	ENST00000360001.11	protein_coding	ENSG00000078808	SDF4	protein_coding	1231701	1234001	chr1:1231701:1234001	3
chr1:1231731:1234031	1.67910372500604	1.23318895813233	-0.445914766873706	0.24927503312628	chr1	1231732	1232031	-	20.6495665359368	5.07292915259073	1.67910372500604	ENST00000263741.12,ENST00000465727.5	protein_coding,nonsense_mediated_decay	ENSG00000078808	SDF4	protein_coding	1231731	1234031	chr1:1231731:1234031	5
chr1:1231767:1234067	1.67910372500604	1.42385234754754	-0.255251377458498	0.198782928139322	chr1	1231768	1232067	-	20.6495665359368	5.07292915259073	1.67910372500604	ENST00000660930.1	protein_coding	ENSG00000078808	SDF4	protein_coding	1231767	1234067	chr1:1231767:1234067	6
chr1:1339890:1342190	0.530372742740268	0.321985693500142	-0.208387049240126	0.295219769037585	chr1	1339891	1340190	-	3.08152797265813	1.51832712163487	0.530372742740268	ENST00000634054.1	retained_intron	ENSG00000107404	DVL1	protein_coding	1339890	1342190	chr1:1339890:1342190	3
chr1:1340065:1342365	0.541981290577476	0.214734274592984	-0.327247015984492	0.0891095592645944	chr1	1340066	1340365	-	3.32085943104905	1.65451004651773	0.541981290577476	ENST00000633096.1	retained_intron	ENSG00000107404	DVL1	protein_coding	1340065	1342365	chr1:1340065:1342365	5
chr1:1374859:1377159	1.12915746382747	0.646385195300661	-0.482772268526809	0.258315811348152	chr1	1374860	1375159	-	4.57093942312016	1.00411944949271	1.12915746382747	ENST00000496905.1	lncRNA	ENSG00000175756	AURKAIP1	protein_coding	1374859	1377159	chr1:1374859:1377159	1
chr1:1374869:1377169	1.12683477686823	1.03660910353748	-0.090225673330752	0.337591970431926	chr1	1374870	1375169	-	4.56036895906343	1.00411944949271	1.12683477686823	ENST00000321751.9	protein_coding	ENSG00000175756	AURKAIP1	protein_coding	1374869	1377169	chr1:1374869:1377169	1
chr1:1374873:1377173	1.12481395059166	0.876393772111714	-0.248420178479946	0.343608612564236	chr1	1374874	1375173	-	4.55118608607961	1.00411944949271	1.12481395059166	ENST00000378853.3	protein_coding	ENSG00000175756	AURKAIP1	protein_coding	1374873	1377173	chr1:1374873:1377173	1
chr1:149897567:149899867	1.09621030562564	0.792593867936841	-0.303616437688799	0.202885120795525	chr1	149899568	149899867	+	3.64246064420696	0.639224627076113	1.09621030562564	ENST00000369152.6	protein_coding	ENSG00000178096	BOLA1	protein_coding	149897567	149899867	chr1:149897567:149899867	3
chr1:149897605:149899905	1.09832956694702	0.989746109036536	-0.108583457910484	0.238745397605184	chr1	149899606	149899905	+	3.6507552840056	0.639224627076113	1.09832956694702	ENST00000476344.1	lncRNA	ENSG00000178096	BOLA1	protein_coding	149897605	149899905	chr1:149897605:149899905	3
chr1:149917541:149919841	2.70538336677236	2.62028269341477	-0.0851006733575881	0.782040131946351	chr1	149917542	149917841	-	14.1012704962186	0.468644781663941	2.70538336677236	ENST00000369145.1	protein_coding	ENSG00000159164	SV2A	protein_coding	149917541	149919841	chr1:149917541:149919841	4
chr1:149917544:149919844	2.70538336677236	2.63440704296245	-0.0709763238099095	0.984174812294794	chr1	149917545	149917844	-	14.1012704962186	0.468644781663941	2.70538336677236	ENST00000369146.8	protein_coding	ENSG00000159164	SV2A	protein_coding	149917544	149919844	chr1:149917544:149919844	4
