atac_logfc	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3
chr1:103108179:103110479	-0.477587448629027	-0.562045248411703	-0.143479508363346	-0.040984315060318	-0.112900476227676	-0.220228010991291	-0.0896638887992192
chr1:103108185:103110485	-0.416143980092054	-0.634396323027308	-0.184176876188701	-0.0343124692229114	-0.0629175886885341	-0.133724704582145	-0.0463221838107338
chr1:103108196:103110496	-0.567616236194833	-0.575154441250259	-0.220993398129728	-0.113970767012913	-0.121860695225224	-0.186617599149061	-0.0757010556600109
chr1:103108222:103110522	-0.509935219141372	-0.533887184655111	0.0133403650516589	0.00183049776009741	-0.00926293999707652	-0.226888406684849	-0.0698846450105493
chr1:110390722:110393022	-0.0305131385640735	-0.208386602106204	-0.00198757555867821	-0.191210083908874	-0.0870422303121086	-0.278416754265775	-0.123908705345448
chr1:110390726:110393026	0.00644793721877169	-0.198024369869996	-0.0682993057916513	-0.144300637195209	-0.00599840454449628	-0.313008011681973	-0.0849461888374937
chr1:110390747:110393047	-0.038640532599985	-0.160545798387265	0.00155895235981071	-0.179874791020329	-0.0734704040495425	-0.284474844560877	-0.09656684363192
chr1:110390748:110393048	-0.0857152844128452	-0.188349319985036	-0.0255222173632233	-0.140694940654725	-0.0818827036299879	-0.258224249438261	-0.0450382968625404
chr1:110390761:110393061	-0.0483746422252409	-0.124108909230206	0.0100031592552481	-0.14463451266394	-0.0603335787304693	-0.289396206949147	-0.124521150587968
chr1:110390782:110393082	-0.116249309102991	-0.172844397374692	0.0182446582453455	-0.12702452455709	-0.113533839025024	-0.272322235392247	-0.0851891950804108
chr1:113977440:113979740	-0.37548609496492	-0.567170779228904	-0.111882023901841	-0.22451424501672	-0.0999120101946902	-0.0383623902551025	-0.0976926558160551
chr1:113977473:113979773	-0.381863435733736	-0.580949432674684	-0.0137782395668606	-0.30036176347037	-0.122521282667961	-0.0149677427179151	-0.132748761294927
chr1:113977490:113979790	-0.191665733985005	-0.565878055369216	0.0785549152000502	-0.133145757982447	-0.164140006477177	-0.0645685649718821	-0.155792624605348
