promoter_id	logfc	pred_logfc	prediction_error	max_shap	Chr	Start	End	Strand	beige	white	logratio	transcript_id	transcript_biotype	ensembl_gene_id	gene_name	gene_biotype	promoter_start	promoter_end	promoter_id.1	cluster
chr1:103108179:103110479	-1.35481575582794	-1.34296602926724	0.0118497265606967	0.562045248411703	chr1	103108180	103108479	-	7.0671683424833	21.1905933250739	-1.35481575582794	ENST00000512756.5	protein_coding	ENSG00000060718	COL11A1	protein_coding	103108179	103110479	chr1:103108179:103110479	1
chr1:103108185:103110485	-1.35159464045243	-1.20598866014411	0.145605980308319	0.634396323027308	chr1	103108186	103108485	-	6.96372000542202	20.874879291879	-1.35159464045243	ENST00000461720.6	protein_coding	ENSG00000060718	COL11A1	protein_coding	103108185	103110485	chr1:103108185:103110485	1
chr1:103108196:103110496	-1.35082654460509	-1.55651796336763	-0.205691418762542	0.575154441250259	chr1	103108197	103108496	-	6.86828636596266	20.6192925348329	-1.35082654460509	ENST00000353414.8,ENST00000358392.6	protein_coding	ENSG00000060718	COL11A1	protein_coding	103108196	103110496	chr1:103108196:103110496	1
chr1:103108222:103110522	-1.33893670527538	-1.02692573527361	0.312010970001773	0.533887184655111	chr1	103108223	103108522	-	6.61967477326187	19.8047439139675	-1.33893670527538	ENST00000370096.9,ENST00000644186.1,ENST00000647280.1	protein_coding	ENSG00000060718	COL11A1	protein_coding	103108222	103110522	chr1:103108222:103110522	1
chr1:110390722:110393022	-0.558115651676126	-0.61606886080676	-0.0579532091306338	0.278416754265775	chr1	110390723	110391022	-	0.321337884535293	1.41780996286435	-0.558115651676126	ENST00000497687.1	lncRNA	ENSG00000168679	SLC16A4	protein_coding	110390722	110393022	chr1:110390722:110393022	2
chr1:110390726:110393026	-0.558115651676126	-0.504206113486699	0.0539095381894275	0.313008011681973	chr1	110390727	110391026	-	0.321337884535293	1.41780996286435	-0.558115651676126	ENST00000369779.9,ENST00000472422.6	protein_coding	ENSG00000168679	SLC16A4	protein_coding	110390726	110393026	chr1:110390726:110393026	2
chr1:110390747:110393047	-0.558115651676126	-0.524252464486508	0.0338631871896177	0.284474844560877	chr1	110390748	110391047	-	0.321337884535293	1.41780996286435	-0.558115651676126	ENST00000528649.5	nonsense_mediated_decay	ENSG00000168679	SLC16A4	protein_coding	110390747	110393047	chr1:110390747:110393047	2
chr1:110390748:110393048	-0.558115651676126	-0.519421546878322	0.038694104797804	0.258224249438261	chr1	110390749	110391048	-	0.321337884535293	1.41780996286435	-0.558115651676126	ENST00000369781.8,ENST00000492412.2	protein_coding,nonsense_mediated_decay	ENSG00000168679	SLC16A4	protein_coding	110390748	110393048	chr1:110390748:110393048	2
chr1:110390761:110393061	-0.558115651676126	-0.475969611877316	0.0821460397988102	0.289396206949147	chr1	110390762	110391061	-	0.321337884535293	1.41780996286435	-0.558115651676126	ENST00000461647.6	nonsense_mediated_decay	ENSG00000168679	SLC16A4	protein_coding	110390761	110393061	chr1:110390761:110393061	2
chr1:110390782:110393082	-0.558115651676126	-0.562913376818814	-0.00479772514268761	0.272322235392247	chr1	110390783	110391082	-	0.321337884535293	1.41780996286435	-0.558115651676126	ENST00000437429.6,ENST00000541986.5	protein_coding	ENSG00000168679	SLC16A4	protein_coding	110390782	110393082	chr1:110390782:110393082	2
chr1:113977440:113979740	-1.20487492291734	-1.20681385392602	-0.0019389310086797	0.567170779228904	chr1	113979441	113979740	+	14.1979589646393	35.3390949677009	-1.20487492291734	ENST00000369551.5	protein_coding	ENSG00000116774	OLFML3	protein_coding	113977440	113979740	chr1:113977440:113979740	1
chr1:113977473:113979773	-1.2048912891871	-1.24148577809677	-0.036594488909675	0.580949432674684	chr1	113979474	113979773	+	14.1979589646393	35.3395185535246	-1.2048912891871	ENST00000320334.5	protein_coding	ENSG00000116774	OLFML3	protein_coding	113977473	113979773	chr1:113977473:113979773	1
chr1:113977490:113979790	-1.20452400182208	-0.888874030787404	0.315649971034676	0.565878055369216	chr1	113979491	113979790	+	14.2020832340531	35.3395185535246	-1.20452400182208	ENST00000491700.1	lncRNA	ENSG00000116774	OLFML3	protein_coding	113977490	113979790	chr1:113977490:113979790	3
chr1:150270779:150273079	-1.07671749634064	-0.673991425522344	0.402726070818296	0.243110739850003	chr1	150272780	150273079	+	0.741088293886522	3.78158996866186	-1.07671749634064	ENST00000369098.3	protein_coding	ENSG00000118292	C1orf54	protein_coding	150270779	150273079	chr1:150270779:150273079	3
chr1:150506075:150508375	-1.90159521290603	-1.87687158671161	0.0247236261944241	0.46197417058254	chr1	150508076	150508375	+	1.76891858070344	12.0816632468866	-1.90159521290603	ENST00000369049.8	protein_coding	ENSG00000143369	ECM1	protein_coding	150506075	150508375	chr1:150506075:150508375	3
chr1:150506081:150508381	-1.90159521290603	-1.82767563350272	0.0739195794033098	0.449503065348618	chr1	150508082	150508381	+	1.76891858070344	12.0816632468866	-1.90159521290603	ENST00000498579.5	lncRNA	ENSG00000143369	ECM1	protein_coding	150506081	150508381	chr1:150506081:150508381	3
chr1:150506093:150508393	-1.90159521290603	-1.70418318526273	0.197412027643298	0.480546962141851	chr1	150508094	150508393	+	1.76891858070344	12.0816632468866	-1.90159521290603	ENST00000496744.5	lncRNA	ENSG00000143369	ECM1	protein_coding	150506093	150508393	chr1:150506093:150508393	3
chr1:150506106:150508406	-1.90159521290603	-1.718276194194	0.183319018712029	0.412010499883929	chr1	150508107	150508406	+	1.76891858070344	12.0816632468866	-1.90159521290603	ENST00000346569.6	protein_coding	ENSG00000143369	ECM1	protein_coding	150506106	150508406	chr1:150506106:150508406	3
