atac_logfc	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3
chr1:1011496:1013796	0.142831496218071	-0.0186025485355009	-0.104323695201882	-0.0390439796002008	-0.00499909477320773	0.0187699659140228	0.0219812200350487
chr1:107055436:107057736	-0.00183357369636225	-0.284862739768018	0.0303438918078779	0.00868438434673646	0.0297723241950602	0.262465444107958	-0.0293358826819333
chr1:11662199:11664499	0.147732660402889	0.0784449788897539	-0.0485004512488262	-0.112580729866942	0.114804185370073	0.0373633018664856	-0.103114893010996
chr1:11666695:11668995	-0.022670327342176	-0.00181135035207088	-0.0437151332611172	0.132022707967506	0.224190233657673	-0.150605293630289	0.167025263898686
chr1:12017465:12019765	-0.0793314636787751	0.0815058251105811	0.100238316904489	0.0673607794495469	-0.326342363818874	0.235827743374412	-0.0818059984983441
chr1:12017497:12019797	0.0471288555193368	0.15083609895023	0.156851037957519	-0.0316331514011718	-0.257035399224599	0.264063371115127	-0.0587396586152109
chr1:12027095:12029395	0.0382990767376592	-0.119757889539979	-0.0268239615855968	0.18164031868447	0.33303094383979	0.0282274430393955	-0.00759604104019795
chr1:1231668:1233968	0.131321152422533	0.123454219580067	0.14069976574916	0.144099043843397	0.199584240452472	0.295305132242286	0.343889758047704
chr1:1231701:1234001	0.199193751702182	0.187774847564261	0.173574249304748	0.133684316366805	0.102875055634868	0.081698447335362	0.305461040912604
chr1:1231731:1234031	0.20202451356009	0.16786227856539	0.24927503312628	0.179130499533191	-0.0432933535632453	0.0841169534390658	0.0862704944170151
chr1:1231767:1234067	0.184690743366203	0.136199338201755	0.198782928139322	0.184121848608967	0.0828277794693816	0.140305485819919	0.191527994687595
chr1:1339890:1342190	-0.0701015027107113	-0.0114126681690679	0.295219769037585	0.0770775567055194	-0.0475613044682496	-0.243254297259804	0.0166219111104735
chr1:1340065:1342365	-0.0564070959064158	0.0850471950880354	0.0685516555470284	0.0170515958425384	-0.0773158180531624	-0.0891095592645944	-0.0390891641287566
chr1:1374859:1377159	-0.0681900701500308	0.153888705457947	-0.182744026893008	0.136881416357194	-0.0671194908304096	0.258315811348152	0.107591052607223
chr1:1374869:1377169	0.0269457548000256	0.153964082056653	-0.0640082715115147	0.211350748315933	-0.0289084011719708	0.337591970431926	0.0918706815618548
chr1:1374873:1377173	-0.0202731644111757	0.111830870567322	-0.134489130023389	0.189212188143837	-0.0367858751838807	0.343608612564236	0.115528473051169
chr1:149897567:149899867	0.0177156722549557	0.0829124239002264	0.0636948002206536	0.0997708247060015	0.0901945797112701	-0.0705850191201082	0.202885120795525
chr1:149897605:149899905	0.0927063389865039	0.065676100786671	0.116178549666451	0.0562409915840109	0.146912765977232	-0.032110264823912	0.238745397605184
chr1:149917541:149919841	0.782040131946351	0.637911746606471	0.2402371620398	0.0692765132770338	0.113794588116872	0.406601010450615	0.0664986737622874
chr1:149917544:149919844	0.984174812294794	0.553265681263652	0.149084874787974	0.0434907136635107	0.105992161568289	0.466208194997275	0.0239842589347635
chr1:151045750:151048050	-0.0909068435277961	-0.169986561426265	0.0213987258717414	0.0322130520806026	0.00680223200320478	0.0865154217288295	-0.0937790993798261
chr1:1515620:1517920	-0.0617495115453015	0.0429640462184043	0.00108558596113076	0.126071402938923	0.140280795618348	-0.146287742829704	0.0286541122397714
chr1:151782888:151785188	-0.0605090661994554	0.0314208922276383	0.00509378819830846	0.00615624218742551	0.00043275538938624	-0.112478649749041	0.0395867541752094
chr1:151790130:151792430	0.152168485927564	0.178562969696392	-0.044053599387188	-0.03436408069961	-0.0177639787569027	0.291518649783357	-0.034589814895648
chr1:151790133:151792433	0.0103940538444398	0.211169986967713	-0.05230473835365	-0.0452223552534847	-0.010766966979106	0.195482449223373	-0.0761638811408991
chr1:151790179:151792479	0.038684426200907	0.18862507540868	-0.0961794015953869	0.0270888122420757	-0.0353134597640098	0.292522225799815	-0.049834617688402
chr1:151790180:151792480	0.0267632262220611	0.198856139224235	-0.0428766438245919	0.0170507992735883	-0.067371445627603	0.304697754167107	-0.105200536966899
chr1:151790183:151792483	-0.035755912289343	0.207264795970775	-0.104655866779407	0.0301123402749121	-0.0317595488889178	0.266190489109679	-0.0875148430408408
chr1:151790188:151792488	0.0255534523525061	0.115421920382098	-0.101856662304894	0.0247588911121461	0.00966482897352653	0.315578158685241	-0.0194410770036875
chr1:151790200:151792500	-0.00288137500650264	0.0644480146239252	0.00393081225088138	0.0284924852825979	-0.0513546364996098	0.311611151890778	-0.116387514861543
chr1:151790205:151792505	-0.0137598635210872	0.105648979975088	-0.101693339428983	0.0453885459579082	-0.0299934843494828	0.357274381641695	-0.0805791211607555
chr1:151790222:151792522	-0.0666428349866464	0.044556997719206	-0.0978787101244206	0.00820809431129712	0.0216720230389711	0.32907974053915	-0.0245116948131947
chr1:153773312:153775612	0.308983347751599	0.0694976166234852	-0.0536984479948634	-0.160396617755474	0.0915913210264257	0.384065477833218	-0.0923468354488671
chr1:153773318:153775618	-0.0127122917667236	0.12123359241181	-0.00403620957674564	-0.144175684702	0.0479010362116528	0.432246658776587	-0.045544449739717
chr1:153773406:153775706	0.328777265905488	0.0707041464458991	0.0348312496172244	0.0263687385892758	0.0450282192637021	0.296652286896246	-0.0492543216430024
chr1:153774595:153776895	-0.0321237549304724	0.339215959701732	-0.0667921245157374	0.0803444783568609	0.00291451123237206	0.477198406082429	0.227271450207301
chr1:153774599:153776899	0.0661530201366009	0.309704338100857	-0.0652910264586618	0.1124265083776	0.0429496848358501	0.449133221555576	0.2175652655328
chr1:153776639:153778939	0.0127111743022504	0.117827951856887	-0.103924863331859	0.0999357275588303	0.00828643295244651	0.674571510680703	0.0648816737259902
chr1:153777050:153779350	-0.242198140741019	0.303538892474271	0.175577772210281	-0.0776437143207673	-0.116572133856255	0.790650506024225	0.0106945078944652
chr1:153777200:153779500	-0.0796322435370801	0.197427468476576	0.0296246808578794	-0.0888117075301101	-0.0271423040112805	0.795309109649948	-0.10233046742497
chr1:155125875:155128175	0.278513718998987	0.0530686957441103	-0.0235510991649413	-0.038608207314679	0.0676754040807666	0.121352103547665	-0.0687821598154947
chr1:155125887:155128187	0.290781117433517	0.194240519012396	0.00256682526550209	0.0647853765139872	-0.0285425034826846	0.172321420196962	0.00403356309127515
chr1:155129203:155131503	-0.0859850399608985	0.261054747458605	-0.242414984228465	-0.0103887372817276	-0.00275556235363412	0.372474403278047	-0.0503692037791018
chr1:155254608:155256908	0.00488479649899669	0.141388556447217	0.00378465899351772	0.0676610103036094	0.0841103983260889	0.0411091324786938	0.233612755125739
